id|description|gtin|stock_quantity|unit_price
1|Country Roll|7892284471877|229.38|28.0997
2|Whmis - Spray Bottle Trigger|7890044239705|561.02|86.416
3|Wine - Redchard Merritt|7893879981999|345.83|94.0057
4|Broom And Broom Rack White|7894470348091|765.1|90.7412
5|Chicken - White Meat No Tender|7892660147496|273.21|40.809
6|Wine - Sicilia Igt Nero Avola|7895531305375|158.48|17.5104
7|Clams - Littleneck Whole|7897875314237||21.8123
8|Pastry - Baked Cinnamon Stick|7895865975440|532.92|34.7781
9|Onions - Red|7898265191515|284.21|41.7802
10|Shrimp - Black Tiger 16/20|7890480095693|682.04|42.0836
11|Beets - Candy Cane Organic|7899432512083|80.17|97.5014
12|Brandy - Orange Mc Guiness|7891528644318||12.8507
13|Garlic - Primerba Paste|7893877987107|16.29|54.5547
14|Quail - Jumbo Boneless|7896117423449|410.81|82.9319
15|Alize Gold Passion|7894160320723|225.34|15.166
16|Cactus Pads|7891658861737|536.62|53.6277
17|Radish - Pickled|7897329193787||12.7888
18|Butter - Pod|7898509159120|244.79|26.8472
19|Food Colouring - Blue|7894273204690|416.31|64.0211
20|Energy Drink - Franks Pineapple|7898656108498|668.98|6.952
21|Soup Campbells Split Pea And Ham|7895203976102|110.98|13.8387
22|Beer - Mill St Organic|7899193287029|895.05|79.4414
23|Beer - Maudite|7890309311972|182.65|5.6342
24|Rice - Basmati|7896581876879|649.72|96.6108
25|Nut - Pine Nuts Whole|7898300938020|83.32|19.313
26|Beef Flat Iron Steak|7893353359551|461.56|84.1437
27|Bread - Ciabatta Buns|7896043051344|132.6|54.2514
28|Muffin Hinge 117n|7894714119313|539.16|37.5941
29|Pastry - Chocolate Marble Tea|7895271100720|228.09|71.3683
30|Beef - Ground Lean Fresh|7896384182151|928.76|10.3638
31|Cream - 18%|7896047096414|563.57|91.589
32|Stock - Chicken White|7895028506810|276.63|93.3414
33|Myers Planters Punch|7890423365961|548.6|50.9307
34|Bread - Italian Sesame Poly|7899832939774|42.85|89.1328
35|Yoghurt Tubes|7897855203580|452.34|34.7408
36|Cheese - Pont Couvert||859.92|40.738
37|Capicola - Hot|7899305330136|471.47|41.629
38|Coffee - 10oz Cup 92961|7898770144440|935.88|14.7151
39|Thyme - Dried|7896690989133|662.35|73.8724
40|Cookie - Oatmeal|7898434134997|377.96|41.9337
41|Grapes - Red|7896730719821|9.88|72.4614
42|Beef - Ox Tongue|7890280324579||24.9624
43|Olives - Black Pitted|7893458655165|227.81|55.3953
44|Tea Leaves - Oolong|7894957197924|568.3|5.828
45|Wood Chips - Regular|7893580216571|419.83|47.5572
46|Sausage - Blood Pudding|7894856106631|432.22|92.3263
47|Juice - Prune|7899213000415|581.38|67.6115
48|Crush - Orange 355ml|7894450485556|767.1|53.128
49|Salsify Organic|7896232071604|597.71|29.961
50|Bag - Bread White Plain|7890855742224|413.02|70.921
51|Tea - Decaf 1 Cup|7897810729803|286.92|65.7532
52|Pasta - Fett Alfredo Single Serve|7893796712353|117.11|44.9927
53|Goat - Leg||640.18|12.8975
54|Bread - Ciabatta Buns|7890782095956|869.48|57.5865
55|Nut - Pistachio Shelled|7892988153829|799.97|38.8378
56|Fish - Soup Base Bouillon|7894414598544|725.53|71.4569
57|Oregano - Dry Rubbed|7898803408069||67.1955
58|Nut - Pumpkin Seeds|7893132114694|700.08|88.33
59|Chicken - Wings Tip Off|7893552764480|507.61|24.826
60|Olives - Morracan Dired|7893729170687|83.15|11.7222
61|Cheese Cloth|7893602911651|498.71|91.192
62|Bandage - Flexible Neon|7895714659606|225.39|97.6478
63|Aspic - Amber|7899590488647|885.03|36.0114
64|Pepper - Black Whole|7897916918404|870.79|71.0218
65|Blueberries|7895272721012||58.7778
66|Lamb - Loin Chops|7892616394543|942.68|3.5323
67|Tea - Decaf 1 Cup|7894890830433|352.2|3.5427
68|Bread Crumbs - Japanese Style|7899758899783|792.32|96.1237
69|Water - Mineral Carbonated|7894491176596|520.72|90.0902
70|Beer - Original Organic Lager|7894506129480|456.28|97.9354
71|Spice - Onion Powder Granulated|7893203425410||60.9856
72|Shrimp - Baby Cold Water|7897498296748|174.92|14.6547
73|Oxtail - Cut|7891377897131|957.05|37.5655
74|Pie Pecan|7896429239923|808.6|38.6579
75|Steampan Lid|7893556637798|280.16|35.5952
76|Remy Red|7894593899792|962.38|90.4024
77|Quail - Eggs Fresh|7898854788999|128.51|4.8269
78|Sugar - Sweet N Low Individual|7897231759756|283.63|3.6602
